# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Amanda barnehage Sa", "Amanda barnehage Sa", "1020785"
"Anna Nilssens Minne barnehage", "Anna Nilssens Minne Sa", "1021090"
"Bleikemyr barnehage", "Haugesund kommune", "1018082"
"Espira Bjørgene barnehage", "Espira Bjørgene AS", "1021279"
"Espira Skåredalen barnehage", "Espira Skåredalen AS", "1021754"
"Fjellstemmen barnehage", "Fjellstemmen barnehage Sa", "1019912"
"Gard barnehage Sa", "Gard barnehage Sa", "1020128"
"Grutle barnehage", "Grutle barnehage Sa", "1019814"
"Haugaland Idrettsbarnehage", "As Haugaland Industri", "1016587"
"Haugesund International Preschool Fus AS", "Haugesund International Preschool Fus AS", "1025877"
"Hemmingstad barnehage", "Haugesund kommune", "1016917"
"Holmegaten Familiebarnehage Ans", "Holmegaten Familiebarnehage Ans", "1020671"
"Iogt Barnehagen", "Iogt Haugesund", "1020789"
"Kvala barnehage AS", "Kvala barnehage AS", "1020602"
"Kyvikdalen barnehage Sa", "Kyvikdalen barnehage Sa", "1021157"
"Li-Te AS", "Li-Te AS", "1022019"
"Lysskar barnehage Sa", "Lysskar barnehage Sa", "1020783"
"Nbu'S Bondegårdsbarnehage", "Nordbygdenes Ungdomslag", "1020241"
"Nye Espira Bråsteintunet barnehage", "Espira Barnehager AS", "2000239"
"Nøtteliten Familiebarnehage AS", "Nøtteliten Familiebarnehage AS", "1020894"
"Oppetveiten Fus barnehage AS", "Oppetveiten Fus barnehage AS", "1021907"
"Presthaug Fus barnehage", "Presthaug Fus barnehage AS", "1021442"
"Rossabø Fus Aktivitetsbarnehage AS", "Rossabø Fus Aktivitetsbarnehage AS", "1021823"
"Rufus barnehage Sa", "Rufus barnehage Sa", "1020563"
"Røvær barnehage", "Haugesund kommune", "1018083"
"Sagatun barnehage", "Haugesund kommune", "1017476"
"Skåre Fus barnehage AS", "Skåre Fus barnehage AS", "1016965"
"Små Barnehager avd Brakahaug", "Små Barnehager Haugesund AS", "1025943"
"Små Barnehager Haugesund Avd Risøy", "Små Barnehager Haugesund AS", "1013542"
"Små Barnehager Sentrum AS", "Små Barnehager Sentrum AS", "1026278"
"Småbarnehager Røvær AS", "Småbarnehager Røvær AS", "2000179"
"Solandsbakken barnehage", "Haugesund kommune", "1018084"
"St. Olav barnehage", "Haugesund kommune", "1016845"
"Steinsfjellet barnehage Sa", "Steinsfjellet barnehage Sa", "1021027"
"Stiftelsen Soria Moria Steinerbarnehage", "Stiftelsen Soria Moria Steinerbarnehage", "1019762"
"Udland Fus barnehage AS", "Udland Fus barnehage AS", "1021181"
"Vardafjell barnehage", "Studentsamskipnaden på Vestlandet", "1016070"
"Vassbrekke Fus Kulturbarnehage AS", "Vassbrekke Fus Kulturbarnehage AS", "1021643"
"Villduen barnehage Sa", "Villduen barnehage Sa", "1020311"
"Åpen barnehage", "Haugesund Kfuk og Kfum", "1020373"
