# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Revetal barnehage", "Re kommune", "1015665"
"Skjeggestadåsen barnehage", "Re kommune", "1026074"
"Smitt og Smule Familiebarnehage Janne Kihle", "Smitt og Smule Familiebarnehage Janne Kihle", "1021340"
"Solerød Oppvekstsenter Avd Barnehage", "Re kommune", "1013952"
"Vivestad barnehage", "Re kommune", "1014203"
