barnehagefakta.get - WARNING - Change in response for id=1012936, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016192, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021233, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016465, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015746, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012935, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016946, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012937, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012932, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025374, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012930, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012934, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012933, archiving old result
