barnehagefakta.get - WARNING - Change in response for id=1012818, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025639, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012816, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018472, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012821, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000036, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025363, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021470, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017269, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012819, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020645, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012815, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017947, archiving old result
