barnehagefakta.get - WARNING - Change in response for id=1022437, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000160, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017876, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016623, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019961, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020428, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020449, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021285, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025383, archiving old result
