barnehagefakta.get - WARNING - Change in response for id=977384443, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974545888, archiving old result
barnehagefakta.get - WARNING - Change in response for id=873845082, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974546108, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974631350, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973744445, archiving old result
barnehagefakta.get - WARNING - Change in response for id=974546132, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973347195, archiving old result
barnehagefakta.get - WARNING - Change in response for id=877217892, archiving old result
barnehagefakta.get - WARNING - Change in response for id=996271676, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973457284, archiving old result
barnehagefakta.get - WARNING - Change in response for id=988103047, archiving old result
barnehagefakta.get - WARNING - Change in response for id=989821059, archiving old result
